NumContract;ContractID;ClientID;inner_lead_id;SubdivisionName;issueDateTimestamp;RepaymentPlanDate;LoanAmount;Status;DateStatus;SumLastPay
68;183;219;\N;Белгород;30.09.2022 15:18;29.09.2023;35000;COLLECTOR;03.10.2024 14:33;1950
91;252;291;\N;Электросталь;04.10.2022 17:40;03.10.2023;50000;EARLY_REPAID;27.07.2023 21:05;3078
265;774;954;\N;Вологда;19.10.2022 15:28;28.06.2023;25000;EARLY_REPAID;16.05.2023 16:30;5700
389;1146;1344;\N;Вологда;28.10.2022 12:44;27.10.2023;30000;DELINQUENT;07.10.2023 0:00;1200
457;1352;1557;\N;Белгород;02.11.2022 13:43;12.07.2023;30000;REPAID;15.06.2023 15:15;3000
640;1901;3680;\N;Чебоксары;15.11.2022 15:10;14.11.2023;20000;EARLY_REPAID;01.08.2023 23:55;11642
864;2573;4640;\N;Иваново;24.11.2022 16:50;23.11.2023;70000;SOLD;26.12.2023 23:45;2500
1097;3272;5777;\N;Белгород;06.12.2022 16:08;15.08.2023;30000;CANCELED;06.12.2022 16:30;\N
1370;4088;7454;\N;Орел;19.12.2022 14:40;28.08.2023;20000;SOLD;26.12.2023 23:45;1070
1393;4157;9776;\N;Электросталь;20.12.2022 14:24;19.12.2023;40000;ACTIVE_SB;12.12.2023 23:00;3000
1612;4814;12794;\N;Иваново;28.12.2022 13:10;06.09.2023;30000;SOLD;26.12.2023 23:45;1600
1851;5530;26824;\N;Рязань;18.01.2023 15:45;17.01.2024;52000;REPAID;23.01.2024 19:10;40
2050;6127;35551;\N;Санкт-Петербург;26.01.2023 18:01;25.01.2024;50000;COLLECTOR;17.12.2024 15:34;2200
2075;6202;42364;\N;Пенза;27.01.2023 15:30;26.01.2024;36000;BANKRUPTCY;26.09.2024 14:18;3100
2148;6421;52735;\N;Пенза;31.01.2023 13:35;30.01.2024;30000;ACTIVE_SB;23.01.2024 23:00;9000
2154;6439;47875;\N;Курск;31.01.2023 14:50;25.07.2023;20000;COLLECTOR;17.12.2024 15:34;6652,05
2369;7084;67927;\N;Волгоград;07.02.2023 18:10;06.02.2024;55000;COLLECTOR;24.07.2024 14:55;4700
2674;7999;89515;\N;Вологда;16.02.2023 16:42;10.08.2023;20000;COLLECTOR;14.10.2024 11:55;1584,96
2952;8833;106015;1333;Рязань;27.02.2023 20:04;21.08.2023;20000;COLLECTOR;22.09.2023 9:26;10868,3
3211;9610;114331;\N;Белгород;10.03.2023 12:01;08.03.2024;30000;COLLECTOR;11.09.2023 9:15;4250
3219;9631;129067;7408;Красногорск;10.03.2023 16:16;08.03.2024;45000;EARLY_REPAID;12.04.2023 20:27;42982
3512;10509;137712;\N;Астрахань;21.03.2023 16:00;19.03.2024;30000;COLLECTOR;13.09.2023 8:46;1100
3547;10614;75;12098;Электросталь;23.03.2023 13:49;21.03.2024;60000;COLLECTOR;21.11.2023 23:00;1775
6081;18155;247823;61302;Онлайн;18.06.2023 3:53;10.09.2023;9500;COLLECTOR;17.12.2024 15:34;\N
7524;22472;252860;85612;Онлайн;05.07.2023 8:34;27.09.2023;9500;COLLECTOR;14.10.2024 11:55;\N
12728;38081;272921;143198;Онлайн;26.08.2023 23:39;18.11.2023;9900;COLLECTOR;08.11.2024 14:22;2353,63
23629;70784;304811;224372;Онлайн;07.11.2023 15:02;30.01.2024;9900;COLLECTOR;03.10.2024 12:39;\N
26146;78335;310499;238618;Онлайн;19.11.2023 15:24;11.02.2024;9900;COLLECTOR;03.10.2024 13:14;2400
27112;81233;312539;244106;Онлайн;23.11.2023 20:44;15.02.2024;9900;COLLECTOR;03.10.2024 12:39;\N
29454;88259;317474;259354;Онлайн;05.12.2023 18:51;27.02.2024;9900;COLLECTOR;03.10.2024 12:39;2353,63
35084;104036;327624;291631;Онлайн;04.01.2024 12:01;28.03.2024;9900;COLLECTOR;03.10.2024 13:14;2347,26
36943;107766;330366;302295;Онлайн;11.01.2024 23:17;04.04.2024;9900;SOLD;22.07.2024 13:05;2340
37142;108361;330727;303297;Онлайн;12.01.2024 21:48;05.04.2024;8000;REPAID;08.03.2024 22:01;5705,77
37392;109111;331276;303744;Онлайн;14.01.2024 8:17;07.04.2024;9900;SOLD;26.06.2024 15:44;2353,63
37654;109897;331792;306104;Онлайн;15.01.2024 13:47;08.04.2024;9900;COLLECTOR;03.10.2024 13:14;2353,63
39952;116791;336370;318123;Онлайн;25.01.2024 18:56;18.04.2024;9900;COLLECTOR;03.10.2024 13:14;2353,63
42997;125922;342546;334684;Онлайн;08.02.2024 20:32;02.05.2024;13300;COLLECTOR;03.10.2024 13:14;2000
68701;203029;392176;475995;Онлайн;14.06.2024 9:09;06.09.2024;9900;DELINQUENT;29.06.2024 0:00;50
70431;208219;361491;486010;Онлайн;22.06.2024 10:47;12.10.2024;6000;ACTIVE_SB;24.09.2024 23:00;500
